age,job,education,balance,pdays,deposit
61,retired,secondary,4243,182,yes
54,technician,tertiary,395,183,yes
45,admin.,secondary,205,90,yes
48,blue-collar,secondary,1730,89,yes
60,blue-collar,primary,5,95,yes
29,housemaid,tertiary,19,88,yes
77,retired,tertiary,7802,92,yes
80,retired,primary,155,53,yes
33,admin.,tertiary,79,195,yes
41,technician,tertiary,1646,90,yes
74,retired,secondary,935,99,yes
46,blue-collar,secondary,640,55,yes
37,management,tertiary,2283,98,yes
51,technician,tertiary,0,66,yes
35,management,tertiary,62,88,yes
53,management,tertiary,3634,88,yes
46,management,tertiary,273,53,yes
78,retired,secondary,3417,181,yes
34,technician,secondary,133,181,yes
54,management,tertiary,1624,182,yes
33,services,secondary,386,181,yes
40,admin.,secondary,260,181,yes
63,retired,tertiary,0,181,yes
37,management,tertiary,2987,87,yes
48,blue-collar,secondary,1230,182,yes
35,management,tertiary,8000,90,yes
68,retired,secondary,1146,71,yes
37,technician,tertiary,197,87,yes
58,admin.,secondary,169,87,yes
37,management,tertiary,393,275,yes
34,admin.,secondary,920,179,yes
50,admin.,secondary,3608,182,yes
56,management,primary,870,179,yes
57,retired,primary,9367,92,yes
29,unemployed,primary,1374,178,yes
75,retired,tertiary,6027,179,yes
46,management,tertiary,349,88,yes
52,management,tertiary,583,181,yes
38,management,tertiary,1276,182,yes
64,retired,secondary,1612,89,yes
62,retired,secondary,3114,186,yes
41,admin.,tertiary,1,361,yes
53,technician,secondary,195,90,yes
47,blue-collar,secondary,1568,91,yes
46,self-employed,secondary,706,386,yes
21,student,secondary,215,89,yes
71,retired,primary,3230,133,yes
52,admin.,secondary,726,378,yes
30,admin.,secondary,265,181,yes
59,management,primary,1727,358,yes
33,services,secondary,2881,328,yes
31,technician,secondary,846,205,yes
67,retired,primary,1430,135,yes
46,housemaid,secondary,38,183,yes
60,unemployed,secondary,1047,279,yes
36,technician,secondary,1368,292,yes
33,admin.,tertiary,272,237,yes
28,blue-collar,secondary,-46,91,yes
28,services,secondary,168,140,yes
28,management,tertiary,223,278,yes
49,admin.,tertiary,228,92,yes
27,blue-collar,tertiary,644,182,yes
28,admin.,secondary,330,182,yes
30,technician,secondary,1165,183,yes
38,admin.,secondary,0,181,yes
36,technician,secondary,2823,371,yes
28,management,tertiary,187,92,yes
80,retired,secondary,8304,64,yes
31,management,tertiary,147,92,yes
39,services,secondary,323,188,yes
36,management,tertiary,495,94,yes
56,admin.,secondary,602,130,yes
71,retired,primary,275,425,yes
26,services,tertiary,12,181,yes
68,retired,primary,2027,92,yes
27,management,tertiary,1720,224,yes
45,technician,tertiary,2033,285,yes
66,housemaid,primary,1230,181,yes
30,management,tertiary,572,183,yes
34,management,tertiary,3301,227,yes
46,blue-collar,secondary,1723,52,yes
52,blue-collar,secondary,955,134,yes
25,blue-collar,secondary,303,92,yes
57,management,tertiary,3287,84,yes
64,retired,primary,109,225,yes
33,management,tertiary,224,107,yes
36,management,tertiary,538,183,yes
25,student,secondary,1957,385,yes
43,services,secondary,774,91,yes
49,management,tertiary,1167,150,yes
42,technician,tertiary,2611,389,yes
27,blue-collar,secondary,3145,179,yes
47,management,tertiary,334,94,yes
39,technician,tertiary,393,94,yes
60,retired,secondary,11,586,yes
58,blue-collar,primary,3109,287,yes
41,admin.,secondary,3126,91,yes
23,services,secondary,488,91,yes
35,unemployed,secondary,978,182,yes
33,management,tertiary,718,84,yes
48,admin.,secondary,1544,450,yes
43,management,tertiary,0,296,yes
32,management,tertiary,12569,295,yes
63,retired,secondary,2896,119,yes
39,management,tertiary,224,88,yes
30,technician,tertiary,0,424,yes
32,management,tertiary,623,194,yes
60,technician,secondary,259,386,yes
37,technician,secondary,432,776,yes
48,management,tertiary,159,251,yes
52,services,secondary,657,460,yes
29,management,tertiary,1808,433,yes
47,management,tertiary,6651,412,yes
70,retired,primary,2795,181,yes
28,management,tertiary,1414,521,yes
80,retired,secondary,668,371,yes
29,management,tertiary,502,87,yes
38,admin.,secondary,1767,239,yes
43,admin.,secondary,386,529,yes
57,retired,secondary,1044,182,yes
31,management,tertiary,2907,194,yes
25,blue-collar,secondary,1857,91,yes
33,management,tertiary,1962,181,yes
79,retired,primary,2787,377,yes
26,blue-collar,secondary,2007,182,yes
70,retired,primary,482,181,yes
86,retired,primary,1255,180,yes
35,management,secondary,724,415,yes
66,retired,secondary,154,181,yes
30,management,tertiary,232,91,yes
60,retired,tertiary,979,181,yes
46,admin.,secondary,5021,182,yes
63,blue-collar,secondary,180,182,yes
35,services,secondary,2918,407,yes
64,retired,secondary,588,179,yes
22,student,primary,423,179,yes
48,unemployed,secondary,817,183,yes
34,technician,secondary,806,458,yes
36,management,tertiary,1057,164,yes
57,retired,secondary,3738,92,yes
29,admin.,secondary,1277,481,yes
24,admin.,secondary,1295,92,yes
34,unemployed,tertiary,1974,342,yes
27,admin.,tertiary,2855,178,yes
36,management,tertiary,203,179,yes
30,student,tertiary,3026,535,yes
41,technician,tertiary,431,88,yes
82,retired,primary,243,180,yes
37,technician,secondary,1707,784,yes
61,self-employed,tertiary,10861,259,yes
33,management,tertiary,373,180,yes
45,technician,secondary,2776,181,yes
61,retired,secondary,1058,91,yes
40,admin.,secondary,0,182,yes
82,housemaid,primary,1381,181,yes
27,student,tertiary,311,148,yes
53,blue-collar,primary,306,181,yes
57,technician,tertiary,1181,182,yes
31,management,tertiary,1761,440,yes
35,unemployed,tertiary,154,181,yes
77,retired,secondary,4112,184,yes
32,management,tertiary,6138,90,yes
69,retired,tertiary,2144,184,yes
69,technician,tertiary,482,267,yes
34,admin.,tertiary,0,183,yes
45,management,tertiary,4831,182,yes
64,retired,primary,12067,92,yes
35,technician,secondary,1227,134,yes
34,management,secondary,369,342,yes
53,admin.,secondary,2398,180,yes
63,management,tertiary,2785,392,yes
37,management,tertiary,62,272,yes
29,student,secondary,1377,446,yes
62,retired,secondary,569,180,yes
34,technician,secondary,0,470,yes
56,services,secondary,1989,181,yes
48,housemaid,primary,46,180,yes
68,retired,tertiary,2812,181,yes
62,retired,secondary,569,1,yes
68,retired,tertiary,2812,1,yes
38,management,tertiary,1199,1,yes
63,entrepreneur,secondary,3904,187,yes
45,admin.,secondary,205,92,yes
59,unemployed,secondary,1625,180,yes
35,unemployed,tertiary,415,92,yes
33,technician,secondary,180,435,yes
48,housemaid,primary,46,1,yes
38,services,secondary,4017,96,yes
29,management,tertiary,437,92,yes
38,technician,secondary,318,182,yes
41,technician,tertiary,1646,92,yes
56,management,tertiary,2037,91,yes
33,technician,secondary,2979,437,yes
34,admin.,secondary,661,183,yes
34,management,tertiary,417,174,yes
37,management,tertiary,2283,92,yes
33,student,secondary,1536,178,yes
61,blue-collar,primary,5,94,yes
22,student,secondary,216,179,yes
37,management,secondary,565,93,yes
35,admin.,secondary,-32,178,yes
60,technician,secondary,824,181,yes
33,management,tertiary,1514,728,yes
53,unemployed,secondary,94,181,yes
30,technician,tertiary,2325,127,yes
56,technician,secondary,3450,181,yes
38,entrepreneur,secondary,2543,414,yes
29,admin.,secondary,464,518,yes
61,retired,secondary,1853,181,yes
62,blue-collar,secondary,272,286,yes
65,entrepreneur,tertiary,2331,183,yes
60,technician,secondary,116,181,yes
30,student,secondary,1779,433,yes
51,management,tertiary,346,180,yes
36,self-employed,tertiary,353,181,yes
42,management,tertiary,27696,91,yes
58,management,secondary,2155,182,yes
43,blue-collar,secondary,413,182,yes
77,retired,primary,2590,178,yes
34,blue-collar,secondary,320,828,yes
35,blue-collar,secondary,1454,182,yes
39,blue-collar,secondary,1382,182,yes
35,self-employed,tertiary,2427,31,yes
48,unemployed,secondary,926,178,yes
26,unemployed,secondary,632,181,yes
49,services,primary,1830,179,yes
37,technician,tertiary,341,182,yes
61,retired,secondary,523,183,yes
33,technician,secondary,484,182,yes
27,blue-collar,secondary,535,95,yes
24,student,secondary,431,185,yes
61,housemaid,primary,211,186,yes
60,management,tertiary,315,183,yes
32,admin.,secondary,200,29,yes
31,services,secondary,-205,579,yes
28,blue-collar,secondary,-46,92,yes
55,admin.,secondary,8304,92,yes
37,management,tertiary,1113,183,yes
33,admin.,tertiary,272,92,yes
75,retired,primary,1413,188,yes
41,unemployed,tertiary,7968,184,yes
25,student,secondary,154,183,yes
27,student,tertiary,5169,466,yes
49,admin.,tertiary,228,93,yes
43,technician,secondary,4945,185,yes
48,management,tertiary,0,125,yes
65,admin.,secondary,952,96,yes
37,services,secondary,52,185,yes
37,management,tertiary,6771,186,yes
51,management,tertiary,151,427,yes
38,admin.,secondary,0,92,yes
34,management,tertiary,2240,184,yes
60,unemployed,secondary,957,184,yes
36,management,tertiary,2161,183,yes
80,retired,secondary,8304,91,yes
39,management,tertiary,494,183,yes
62,retired,secondary,2801,183,yes
84,retired,tertiary,4761,92,yes
31,management,tertiary,877,92,yes
33,unemployed,secondary,2066,749,yes
33,admin.,secondary,555,365,yes
64,retired,primary,48,92,yes
48,technician,primary,235,191,yes
28,admin.,secondary,1595,254,yes
28,student,tertiary,5741,200,yes
28,management,tertiary,187,93,yes
52,unemployed,secondary,1416,187,yes
25,student,secondary,486,199,yes
62,retired,tertiary,2557,216,yes
41,admin.,secondary,3138,398,yes
28,management,tertiary,1720,91,yes
75,retired,primary,1765,187,yes
35,blue-collar,secondary,262,75,yes
49,management,tertiary,1093,246,yes
38,management,tertiary,1477,769,yes
72,retired,tertiary,3561,184,yes
31,management,tertiary,3340,469,yes
49,technician,tertiary,1071,91,yes
29,management,tertiary,247,587,yes
60,retired,secondary,975,792,yes
31,student,tertiary,4951,81,yes
37,management,tertiary,488,854,yes
46,management,tertiary,624,183,yes
44,management,tertiary,2367,184,yes
23,technician,secondary,283,184,yes
60,admin.,secondary,3735,184,yes
55,management,secondary,2693,184,yes
43,unemployed,secondary,0,184,yes
31,housemaid,secondary,243,842,yes
29,unemployed,secondary,1055,603,yes
59,management,tertiary,5397,92,yes
32,blue-collar,secondary,2093,444,yes
49,management,tertiary,1167,91,yes
55,services,secondary,0,193,yes
38,services,secondary,2678,187,yes
61,retired,secondary,11,92,yes
28,management,tertiary,390,232,yes
31,student,secondary,3511,96,yes
39,management,tertiary,2939,99,yes
58,admin.,secondary,3337,690,yes
48,admin.,secondary,368,140,yes
36,technician,secondary,12264,182,yes
67,retired,secondary,203,266,yes
30,management,tertiary,502,95,yes
31,management,tertiary,4328,165,yes
33,management,tertiary,131,427,yes
36,management,tertiary,2646,182,yes
62,self-employed,tertiary,6,183,yes
29,self-employed,tertiary,1579,92,yes
26,blue-collar,secondary,2007,92,yes
59,technician,secondary,1,182,yes
51,management,tertiary,469,182,yes
27,technician,secondary,643,93,yes
60,retired,secondary,514,213,yes
42,unemployed,secondary,1289,92,yes
47,admin.,secondary,3676,95,yes
43,unemployed,tertiary,0,94,yes
22,management,tertiary,104,185,yes
49,blue-collar,secondary,1946,95,yes
44,management,tertiary,1090,93,yes
64,retired,secondary,4833,181,yes
29,student,secondary,1925,149,yes
52,management,secondary,335,182,yes
52,technician,secondary,371,183,yes
54,management,tertiary,5475,91,yes
37,management,tertiary,203,90,yes
77,retired,secondary,820,181,yes
34,technician,secondary,1279,91,yes
29,blue-collar,tertiary,455,148,yes
38,management,tertiary,536,92,yes
30,management,tertiary,985,94,yes
74,retired,secondary,935,173,yes
31,admin.,secondary,410,185,yes
33,admin.,secondary,51,284,yes
26,management,tertiary,222,120,yes
47,admin.,secondary,1210,91,yes
56,admin.,secondary,1693,442,yes
54,technician,tertiary,876,541,yes
24,student,secondary,822,91,yes
70,retired,secondary,0,92,yes
63,entrepreneur,secondary,3904,96,yes
38,technician,tertiary,88,186,yes
44,entrepreneur,tertiary,121,91,yes
52,technician,tertiary,0,92,yes
35,technician,secondary,0,96,yes
29,admin.,secondary,464,91,yes
41,unemployed,tertiary,79,390,yes
62,retired,tertiary,2557,57,yes
62,blue-collar,secondary,272,92,yes
38,entrepreneur,secondary,2543,93,yes
36,admin.,secondary,1224,374,yes
34,blue-collar,secondary,320,92,yes
60,services,tertiary,4256,92,yes
29,management,secondary,703,550,yes
32,blue-collar,secondary,136,188,yes
75,retired,tertiary,3810,183,yes
68,retired,secondary,1146,187,yes
53,management,tertiary,583,184,yes
73,retired,secondary,2850,40,yes
72,retired,secondary,5715,184,yes
59,management,tertiary,2239,90,yes
34,services,secondary,2918,196,yes
37,admin.,tertiary,4708,181,yes
31,management,tertiary,3283,73,yes
33,unemployed,secondary,1211,188,yes
30,management,tertiary,697,102,yes
40,management,tertiary,4539,439,yes
28,services,tertiary,128,414,yes
47,management,tertiary,1147,95,yes
37,unemployed,secondary,1978,182,yes
23,student,secondary,922,184,yes
40,technician,secondary,694,119,yes
57,management,secondary,2155,91,yes
35,technician,tertiary,7050,187,yes
45,management,secondary,644,168,yes
34,admin.,tertiary,69,1,yes
24,management,tertiary,1506,95,yes
30,services,tertiary,1788,181,yes
71,retired,tertiary,653,189,yes
41,management,tertiary,3426,297,yes
29,admin.,tertiary,238,88,yes
36,technician,secondary,27,260,yes
51,technician,tertiary,1347,243,yes
61,retired,tertiary,2557,190,yes
34,technician,secondary,0,2,yes
55,technician,tertiary,1320,91,yes
69,retired,secondary,0,90,yes
41,unemployed,secondary,1077,387,yes
45,admin.,primary,429,181,yes
48,blue-collar,secondary,863,350,yes
50,technician,secondary,0,120,yes
30,self-employed,tertiary,655,184,yes
27,blue-collar,tertiary,567,182,yes
35,technician,secondary,399,345,yes
59,admin.,secondary,3735,121,yes
27,technician,tertiary,401,93,yes
29,self-employed,tertiary,3290,291,yes
61,retired,secondary,938,183,yes
44,technician,tertiary,2033,99,yes
21,student,secondary,2488,169,yes
52,technician,tertiary,2557,204,yes
41,admin.,secondary,6046,182,yes
33,management,tertiary,816,503,yes
33,services,secondary,1697,182,yes
36,entrepreneur,secondary,866,173,yes
42,entrepreneur,secondary,0,140,yes
40,technician,tertiary,11766,242,yes
48,management,secondary,2892,385,yes
55,management,tertiary,2037,273,yes
27,technician,secondary,2,356,yes
36,entrepreneur,secondary,2971,97,yes
34,management,tertiary,3301,92,yes
72,admin.,primary,2321,64,yes
54,services,secondary,0,290,yes
26,student,tertiary,294,91,yes
42,admin.,secondary,527,185,yes
32,management,tertiary,3283,191,yes
31,self-employed,tertiary,2666,97,yes
62,retired,secondary,569,184,yes
58,management,tertiary,473,262,yes
53,admin.,secondary,1796,193,yes
45,management,tertiary,226,179,yes
60,blue-collar,primary,5,92,yes
31,services,secondary,447,77,yes
39,services,secondary,91,185,yes
38,technician,secondary,5115,95,yes
38,admin.,secondary,19,251,yes
38,blue-collar,secondary,0,183,yes
35,student,tertiary,387,347,yes
34,management,tertiary,0,86,yes
58,retired,primary,2538,111,yes
34,technician,secondary,133,187,yes
33,admin.,tertiary,146,91,yes
77,retired,primary,2590,277,yes
37,management,tertiary,238,92,yes
38,management,tertiary,238,92,yes
38,management,tertiary,413,183,yes
31,management,tertiary,1331,86,yes
31,technician,tertiary,985,57,yes
40,technician,secondary,2266,147,yes
27,blue-collar,secondary,535,87,yes
62,housemaid,tertiary,1528,184,yes
33,admin.,secondary,-370,345,yes
27,technician,tertiary,11862,97,yes
47,housemaid,secondary,3940,97,yes
43,services,tertiary,4216,195,yes
49,services,primary,0,166,yes
28,unemployed,primary,7459,269,yes
32,admin.,secondary,131,183,yes
29,management,secondary,231,14,yes
23,technician,secondary,598,195,yes
41,technician,secondary,1819,371,yes
66,management,secondary,587,392,yes
62,retired,secondary,1495,57,yes
33,management,tertiary,271,91,yes
54,management,tertiary,1014,162,yes
45,management,tertiary,1411,102,yes
31,technician,secondary,2544,184,yes
33,technician,tertiary,1699,94,yes
56,retired,secondary,393,221,yes
35,technician,tertiary,2658,141,yes
32,student,tertiary,64,105,yes
36,admin.,tertiary,994,90,yes
55,retired,secondary,2204,264,yes
42,unemployed,tertiary,576,96,yes
40,management,tertiary,3840,409,yes
26,student,tertiary,5169,35,yes
31,management,tertiary,533,91,yes
44,self-employed,tertiary,1070,104,yes
48,management,tertiary,0,182,yes
35,unemployed,tertiary,415,89,yes
46,technician,secondary,3434,101,yes
32,admin.,secondary,35,126,yes
30,management,tertiary,5359,98,yes
31,technician,tertiary,2166,182,yes
36,management,tertiary,495,97,yes
34,admin.,secondary,2374,209,yes
28,student,secondary,1925,88,yes
23,services,secondary,279,370,yes
32,entrepreneur,secondary,390,280,yes
24,student,secondary,1234,156,yes
56,management,tertiary,616,83,yes
27,services,secondary,1347,193,yes
60,retired,secondary,1853,183,yes
64,management,tertiary,3951,91,yes
48,admin.,secondary,660,561,yes
20,student,secondary,215,95,yes
77,retired,primary,3324,91,yes
32,technician,tertiary,1246,85,yes
33,management,tertiary,1271,330,yes
51,management,tertiary,346,192,yes
36,management,tertiary,1379,186,yes
49,management,tertiary,1093,91,yes
48,management,tertiary,334,92,yes
25,student,secondary,125,92,yes
37,management,tertiary,1113,182,yes
25,blue-collar,secondary,1857,187,yes
62,self-employed,tertiary,6,182,yes
34,services,secondary,1076,182,yes
45,management,tertiary,2048,804,yes
19,student,primary,608,180,yes
43,admin.,secondary,132,71,yes
50,blue-collar,primary,3764,99,yes
37,services,secondary,4017,196,yes
24,blue-collar,secondary,272,94,yes
43,blue-collar,secondary,2160,98,yes
23,student,tertiary,691,178,yes
46,housemaid,primary,3512,197,yes
59,entrepreneur,secondary,496,183,yes
74,retired,tertiary,1843,184,yes
42,unemployed,secondary,1289,415,yes
29,housemaid,tertiary,19,230,yes
41,management,tertiary,254,294,yes
31,blue-collar,secondary,136,267,yes
27,student,tertiary,13107,314,yes
42,management,tertiary,11008,405,yes
30,management,tertiary,536,91,yes
41,management,tertiary,1757,239,yes
58,retired,secondary,1230,87,yes
36,management,tertiary,93,182,yes
34,admin.,tertiary,69,251,yes
30,services,secondary,-158,370,yes
27,admin.,secondary,4590,89,yes
36,management,tertiary,0,143,yes
52,admin.,secondary,363,462,yes
39,technician,secondary,385,48,yes
24,technician,secondary,556,94,yes
59,management,tertiary,315,176,yes
35,student,secondary,188,200,yes
58,admin.,secondary,169,92,yes
29,student,secondary,67,187,yes
30,admin.,secondary,396,348,yes
34,technician,secondary,2085,182,yes
44,blue-collar,primary,36,371,yes
53,management,tertiary,50,337,yes
37,management,tertiary,102,258,yes
36,blue-collar,primary,828,345,yes
32,technician,tertiary,2688,57,yes
32,blue-collar,secondary,889,99,yes
29,management,tertiary,224,81,yes
24,student,secondary,1809,95,yes
21,student,primary,423,285,yes
53,blue-collar,primary,4401,92,yes
34,admin.,tertiary,69,205,yes
21,blue-collar,primary,-172,361,yes
27,blue-collar,tertiary,567,184,yes
75,retired,secondary,291,182,yes
50,admin.,secondary,3608,197,yes
60,admin.,secondary,-41,262,yes
49,services,secondary,202,104,yes
38,management,tertiary,3141,189,yes
30,admin.,secondary,3528,92,yes
44,blue-collar,primary,-101,366,yes
29,self-employed,tertiary,1579,181,yes
54,unemployed,secondary,1561,186,yes
33,management,tertiary,224,92,yes
59,admin.,secondary,3735,91,yes
30,housemaid,tertiary,19,92,yes
28,blue-collar,secondary,61,319,yes
31,self-employed,tertiary,5,135,yes
49,blue-collar,secondary,1730,92,yes
43,unemployed,tertiary,0,281,yes
40,unemployed,tertiary,7968,180,yes
39,unemployed,primary,7005,184,yes
71,technician,secondary,3020,270,yes
67,retired,secondary,704,87,yes
34,management,tertiary,8000,260,yes
27,technician,tertiary,2781,389,yes
28,management,tertiary,2725,504,yes
37,technician,tertiary,3943,138,yes
76,retired,primary,802,181,yes
48,management,tertiary,2351,105,yes
31,services,primary,459,293,yes
49,admin.,secondary,3608,168,yes
42,management,primary,5310,97,yes
68,retired,tertiary,2144,96,yes
36,management,tertiary,495,37,yes
34,technician,secondary,294,184,yes
46,blue-collar,secondary,640,182,yes
29,unemployed,primary,1374,208,yes
23,self-employed,tertiary,780,183,yes
37,management,tertiary,630,87,yes
31,management,tertiary,3384,104,yes
32,technician,tertiary,2976,175,yes
60,housemaid,secondary,0,181,yes
44,admin.,secondary,1534,95,yes
56,retired,primary,1947,123,yes
68,retired,primary,2027,91,yes
37,management,tertiary,72,150,yes
53,services,secondary,36,417,yes
33,admin.,secondary,5,368,yes
24,technician,secondary,598,182,yes
57,management,tertiary,256,91,yes
40,technician,tertiary,1646,91,yes
35,technician,tertiary,670,182,yes
22,student,secondary,71,181,yes
38,technician,secondary,5115,102,yes
40,management,tertiary,-17,256,yes
63,management,tertiary,5112,95,yes
50,retired,secondary,8648,176,yes
27,self-employed,tertiary,168,196,yes
44,management,tertiary,1791,182,yes
36,services,secondary,4721,92,yes
68,retired,secondary,1146,110,yes
32,technician,secondary,660,490,yes
46,self-employed,tertiary,2421,100,yes
26,management,tertiary,222,63,yes
32,technician,secondary,473,95,yes
41,management,tertiary,2226,99,yes
34,admin.,tertiary,79,92,yes
51,management,tertiary,346,92,yes
34,management,tertiary,158,92,yes
25,technician,secondary,7103,10,yes
47,admin.,secondary,3696,181,yes
30,student,secondary,48,191,yes
46,admin.,secondary,974,80,yes
46,management,tertiary,273,105,yes
42,management,tertiary,2665,126,yes
29,self-employed,tertiary,3290,50,yes
37,management,tertiary,1276,94,yes
32,blue-collar,secondary,10287,188,yes
53,management,tertiary,1624,98,yes
53,technician,tertiary,395,148,yes
32,technician,secondary,484,463,yes
43,management,tertiary,2987,85,yes
61,management,tertiary,2,114,yes
27,technician,tertiary,1075,184,yes
61,self-employed,tertiary,10861,91,yes
49,blue-collar,primary,24,362,yes
25,blue-collar,secondary,1857,91,yes
51,management,tertiary,2635,74,yes
32,blue-collar,secondary,225,150,yes
72,retired,primary,4657,91,yes
34,admin.,secondary,1406,85,yes
38,technician,secondary,6728,96,yes
35,management,tertiary,611,121,yes
22,student,primary,3472,183,yes
42,blue-collar,secondary,366,106,yes
38,admin.,secondary,262,180,yes
42,management,tertiary,372,1,yes
42,management,tertiary,27696,89,yes
31,management,tertiary,12857,87,yes
38,admin.,tertiary,1988,130,yes
27,admin.,secondary,1595,197,yes
31,technician,tertiary,882,93,yes
32,management,tertiary,6542,175,yes
40,services,secondary,687,208,yes
36,management,tertiary,5958,184,yes
35,technician,tertiary,7050,182,yes
50,management,tertiary,5969,544,yes
33,management,tertiary,935,92,yes
32,management,tertiary,935,375,yes
45,blue-collar,secondary,0,472,yes
23,student,secondary,107,183,yes
61,retired,tertiary,2557,91,yes
31,unemployed,tertiary,302,357,yes
48,unemployed,secondary,201,91,yes
73,retired,primary,796,182,yes
38,admin.,secondary,1559,280,yes
51,management,tertiary,469,181,yes
33,services,secondary,152,365,yes
39,technician,secondary,1587,98,yes
35,management,tertiary,495,87,yes
28,self-employed,tertiary,159,33,yes
41,admin.,secondary,985,391,yes
28,admin.,secondary,4745,181,yes
53,management,secondary,2693,104,yes
45,management,tertiary,160,194,yes
67,retired,primary,1430,91,yes
37,blue-collar,secondary,604,495,yes
37,management,tertiary,255,183,yes
47,admin.,secondary,368,87,yes
41,services,secondary,471,293,yes
72,retired,secondary,5715,181,yes
36,admin.,tertiary,364,123,yes
39,services,secondary,25,351,yes
55,technician,secondary,3450,183,yes
35,admin.,secondary,2374,183,yes
32,technician,tertiary,5514,182,yes
29,blue-collar,tertiary,455,36,yes
37,management,tertiary,0,182,yes
67,management,tertiary,405,95,yes
31,management,tertiary,533,90,yes
36,services,secondary,1227,341,yes
49,blue-collar,secondary,2039,169,yes
54,blue-collar,primary,4401,183,yes
31,unemployed,tertiary,330,181,yes
30,management,tertiary,398,180,yes
48,blue-collar,secondary,238,81,no
34,admin.,secondary,673,260,no
31,blue-collar,primary,-199,299,no
35,admin.,secondary,181,301,no
46,blue-collar,secondary,942,119,no
49,entrepreneur,secondary,5802,104,no
45,admin.,secondary,1097,208,no
37,technician,secondary,24,105,no
40,services,secondary,0,28,no
56,management,tertiary,563,168,no
53,self-employed,secondary,248,126,no
55,retired,tertiary,357,103,no
56,management,tertiary,2366,188,no
32,management,tertiary,307,201,no
41,management,tertiary,-29,266,no
60,retired,tertiary,2194,263,no
60,management,secondary,0,87,no
28,blue-collar,tertiary,1984,14,no
50,technician,tertiary,3117,164,no
45,entrepreneur,secondary,242,198,no
31,blue-collar,secondary,573,269,no
35,self-employed,tertiary,1178,183,no
48,admin.,secondary,-407,352,no
43,unemployed,secondary,775,106,no
26,admin.,secondary,96,345,no
39,management,tertiary,633,133,no
34,blue-collar,secondary,1924,253,no
62,management,tertiary,0,182,no
55,management,tertiary,0,187,no
88,retired,secondary,433,274,no
41,services,secondary,2399,351,no
35,blue-collar,primary,147,337,no
43,management,tertiary,9,401,no
32,services,secondary,289,257,no
32,housemaid,primary,-184,197,no
37,admin.,tertiary,3954,117,no
34,blue-collar,secondary,-257,368,no
35,management,tertiary,1750,175,no
33,self-employed,tertiary,263,94,no
29,admin.,secondary,6429,352,no
33,management,tertiary,312,369,no
29,unemployed,tertiary,7,179,no
35,blue-collar,secondary,142,168,no
44,admin.,secondary,777,350,no
31,services,primary,997,190,no
30,unemployed,tertiary,1159,68,no
57,unemployed,secondary,1350,388,no
45,blue-collar,secondary,87,360,no
57,management,tertiary,3431,189,no
33,technician,secondary,151,236,no
37,admin.,tertiary,0,119,no
53,services,secondary,367,261,no
56,management,tertiary,505,169,no
33,management,tertiary,22867,440,no
37,management,secondary,1655,175,no
39,blue-collar,secondary,1403,326,no
34,admin.,secondary,140,365,no
57,retired,secondary,3738,367,no
32,blue-collar,primary,1918,172,no
43,blue-collar,primary,250,342,no
32,admin.,secondary,337,368,no
36,management,tertiary,806,259,no
40,admin.,secondary,367,274,no
41,blue-collar,secondary,1954,110,no
39,management,tertiary,839,774,no
49,management,tertiary,342,228,no
32,management,tertiary,141,89,no
42,blue-collar,primary,402,330,no
33,technician,tertiary,8023,105,no
28,student,secondary,1925,93,no
41,admin.,secondary,1395,308,no
55,management,primary,621,208,no
51,management,tertiary,119,165,no
39,blue-collar,secondary,5222,177,no
59,admin.,secondary,92,350,no
44,services,secondary,1450,314,no
34,technician,secondary,1026,100,no
28,management,tertiary,385,193,no
38,management,tertiary,5432,149,no
54,retired,tertiary,349,175,no
60,retired,tertiary,381,344,no
53,retired,secondary,4968,87,no
30,admin.,secondary,873,167,no
30,management,tertiary,265,93,no
36,management,tertiary,243,360,no
52,management,tertiary,1944,323,no
38,services,secondary,8876,75,no
52,admin.,secondary,423,96,no
29,services,secondary,376,183,no
27,technician,secondary,21,356,no
29,management,tertiary,92,92,no
37,management,tertiary,600,196,no
39,management,tertiary,691,255,no
47,blue-collar,secondary,3696,170,no
47,blue-collar,primary,2,190,no
40,management,tertiary,384,327,no
39,blue-collar,secondary,284,318,no
45,technician,secondary,3395,188,no
39,admin.,secondary,3047,370,no
30,admin.,secondary,523,101,no
45,services,secondary,0,192,no
34,management,tertiary,171,294,no
30,admin.,secondary,613,302,no
32,technician,tertiary,514,168,no
30,technician,secondary,426,111,no
52,self-employed,secondary,1291,169,no
35,management,tertiary,105,365,no
39,admin.,secondary,47,371,no
37,management,primary,1506,80,no
30,admin.,tertiary,26,323,no
36,management,tertiary,1582,197,no
41,blue-collar,primary,3658,330,no
39,services,primary,324,312,no
37,services,secondary,1694,251,no
47,technician,secondary,644,160,no
38,admin.,secondary,3834,327,no
48,self-employed,secondary,1559,133,no
34,admin.,secondary,598,324,no
63,housemaid,secondary,2,93,no
50,blue-collar,primary,15,350,no
41,admin.,secondary,2550,347,no
26,technician,secondary,3244,5,no
37,self-employed,primary,235,323,no
49,blue-collar,secondary,298,86,no
46,admin.,secondary,875,353,no
42,unemployed,primary,-581,370,no
47,admin.,secondary,829,188,no
33,admin.,tertiary,490,363,no
40,blue-collar,primary,592,350,no
82,housemaid,primary,1381,93,no
40,technician,secondary,192,351,no
40,services,secondary,0,185,no
40,blue-collar,primary,34,344,no
32,blue-collar,secondary,897,322,no
31,management,tertiary,1224,119,no
